path,query_id,response,completion_tokens,latency_ms,error
analysis/check/body/expression_operation.go,q0,NONE,2,425,
analysis/check/body/object_literal_sourcevalue.go,q0,NONE,2,559,
analysis/check/body/entry_contextual_function.go,q0,NONE,2,920,
analysis/check/body/call_identity.go,q0,NONE,2,918,
analysis/check/body/function_value_types.go,q0,NONE,2,921,
analysis/check/body/internal/readexpr/readexpr.go,q0,NONE,2,982,
analysis/check/body/api.go,q0,NONE,2,982,
analysis/check/body/generic_for_transfer.go,q0,NONE,2,982,
analysis/check/body/result_return_readmodel.go,q0,NONE,2,599,
analysis/check/body/module_type_alias.go,q0,NONE,2,1127,
analysis/check/body/read_boundary_state.go,q0,NONE,2,1124,
analysis/check/body/entry_state.go,q0,NONE,2,1127,
analysis/check/body/import_outcomes.go,q0,NONE,2,1124,
analysis/check/body/result_parameter_readmodel.go,q0,NONE,2,1127,
analysis/check/body/result_accessors.go,q0,NONE,2,1165,
analysis/check/body/read_boundary.go,q0,NONE,2,1167,
analysis/check/body/return_type_values.go,q0,NONE,2,606,
analysis/check/body/config.go,q0,"68, Globals, configGlobals",9,1208,
analysis/check/diagnostics/assignment_call_owner.go,q0,NONE,2,372,
analysis/check/body/signature_return_type_ops.go,q0,NONE,2,830,
analysis/check/body/visibility.go,q0,NONE,2,830,
analysis/check/body/run.go,q0,NONE,2,924,
analysis/check/diagnostics/assignment.go,q0,NONE,2,1247,
analysis/check/diagnostics/assignment_diagnostic.go,q0,NONE,2,1319,
analysis/check/diagnostics/channel_select_exhaustiveness.go,q0,NONE,2,1318,
analysis/check/diagnostics/dead_assignment.go,q0,NONE,2,1399,
analysis/check/diagnostics/evidence.go,q0,NONE,2,1399,
analysis/check/diagnostics/direct_call.go,q0,NONE,2,1441,
analysis/check/diagnostics/call_param_obligation.go,q0,NONE,2,1662,
analysis/check/diagnostics/condition_reachability.go,q0,NONE,2,1661,
analysis/check/diagnostics/assignment_projection.go,q0,NONE,2,1706,
analysis/check/diagnostics/object_literal_mismatch.go,q0,NONE,2,780,
analysis/check/diagnostics/numeric_for.go,q0,NONE,2,780,
analysis/check/diagnostics/member_call.go,q0,NONE,2,1540,
analysis/check/diagnostics/unused_local.go,q0,NONE,2,658,
analysis/check/diagnostics/trust.go,q0,NONE,2,702,
analysis/check/diagnostics/type_reference.go,q0,NONE,2,702,
analysis/check/checktest/internal/precheck/precheck.go,q0,"22, Precheck, Structural.Produce",10,2510,
analysis/check/diagnostics/value_reference.go,q0,NONE,2,426,
analysis/check/exportmanifest/effect_boundary.go,q0,NONE,2,426,
analysis/check/diagnostics/internal/readmodel/readmodel.go,q0,NONE,2,2040,
analysis/check/diagnostics/runtime_guard.go,q0,NONE,2,1469,
analysis/check/diagnostics/resolver.go,q0,NONE,2,1512,
analysis/check/diagnostics/return_contract.go,q0,NONE,2,1552,
analysis/check/exportmanifest/export.go,q0,NONE,2,820,
analysis/check/diagnostics/diagnostics.go,q0,55: Produce -> ProduceWithConfig,9,3038,
analysis/check/checktest/checktest.go,q0,113: PlacementPlan delegates to r.placement,12,3283,
analysis/check/fixpoint/program/internal/projectsummary/project_normal_reachability.go,q0,NONE,2,204,
analysis/check/fixpoint/program/internal/projectsummary/project.go,q0,NONE,2,491,
analysis/check/fixpoint/program/internal/projectsummary/project_heap_table_objects.go,q0,NONE,2,204,
analysis/check/diagnostics/member_read.go,q0,"78: walk, walkDepth",8,2282,
analysis/check/exportmanifest/source_type.go,q0,NONE,2,1020,
analysis/check/exportmanifest/object_type.go,q0,NONE,2,1020,
analysis/check/fixpoint/program/internal/projectsummary/project_normal_return_equalities.go,q0,NONE,2,351,
analysis/check/fixpoint/program/internal/projectsummary/project_normal_return_conditions.go,q0,NONE,2,395,
analysis/check/fixpoint/program/internal/projectsummary/project_normal_return_facts.go,q0,NONE,2,723,
analysis/check/fixpoint/program/internal/projectsummary/project_normal_return_params.go,q0,NONE,2,735,
