package,file,symbol,kind,current_owner,final_owner,classification,semantic_id,schema,differential
analysis/check/body,advice_claim.go,RedundantClaimOccurrence,type,analysis/check/body,,unclassified,,,
analysis/check/body,advice_claim.go,Result.ForEachRedundantClaimOccurrence,method,analysis/check/body,,unclassified,,,
analysis/check/body,advice_guard.go,AlwaysTrueGuardOccurrence,type,analysis/check/body,,unclassified,,,
analysis/check/body,advice_guard.go,Result.ForEachAlwaysTrueGuardOccurrence,method,analysis/check/body,,unclassified,,,
analysis/check/body,advice_loop.go,InvariantLoopReadOccurrence,type,analysis/check/body,,unclassified,,,
analysis/check/body,advice_loop.go,LoopInfo,type,analysis/check/body,,unclassified,,,
analysis/check/body,advice_loop.go,Result.ForEachInvariantLoopReadOccurrence,method,analysis/check/body,,unclassified,,,
analysis/check/body,advice_loop.go,Result.InnermostLoopForPoint,method,analysis/check/body,,unclassified,,,
analysis/check/body,advice_loop.go,Result.PathInvalidatedInLoop,method,analysis/check/body,,unclassified,,,
analysis/check/body,advice_shape_polymorphic.go,Result.ForEachShapePolymorphicOccurrence,method,analysis/check/body,,unclassified,,,
analysis/check/body,advice_shape_polymorphic.go,ShapeConditionalFieldOccurrence,type,analysis/check/body,,unclassified,,,
analysis/check/body,advice_shape_polymorphic.go,ShapePolymorphicOccurrence,type,analysis/check/body,,unclassified,,,
analysis/check/body,advice_split_birth_discriminant.go,Result.ForEachSplitBirthDiscriminantOccurrence,method,analysis/check/body,,unclassified,,,
analysis/check/body,advice_split_birth_discriminant.go,SplitBirthDiscriminantOccurrence,type,analysis/check/body,,unclassified,,,
analysis/check/body,advice_split_birth_discriminant.go,SplitBirthPayloadWriteOccurrence,type,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,CallOutcomeContext,type,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,CallOutcomeFactory,type,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,CalleeValueFunc,type,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,CheckBoundChunk,func,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,CheckBoundFunction,func,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,CheckChunk,func,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,CheckFunction,func,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,Config,type,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,DynamicReadFunc,type,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,ErrRegistryRequired,var,analysis/check/body,,unclassified,,,
analysis/check/body,api.go,ErrRetainedResume,var,analysis/check/body,analysis/check/body,retained-lexical,lexical:retained-summary-session,go-lua.body.retained-session/v1,test:retained-resume-rejection
