BenchmarkExecuteLoop-32             	   32728	     18357 ns/op	    5112 B/op	     639 allocs/op
BenchmarkExecuteLoop-32             	   32452	     17940 ns/op	    5112 B/op	     639 allocs/op
BenchmarkExecuteLoop-32             	   32803	     17973 ns/op	    5112 B/op	     639 allocs/op
BenchmarkExecuteLoop-32             	   32071	     17989 ns/op	    5112 B/op	     639 allocs/op
BenchmarkExecuteLoop-32             	   31411	     18447 ns/op	    5112 B/op	     639 allocs/op
BenchmarkExecuteArithmetic-32       	   96766	      6294 ns/op	    2696 B/op	     337 allocs/op
BenchmarkExecuteArithmetic-32       	   95038	      6083 ns/op	    2696 B/op	     337 allocs/op
BenchmarkExecuteArithmetic-32       	   93154	      5972 ns/op	    2696 B/op	     337 allocs/op
BenchmarkExecuteArithmetic-32       	   98048	      5928 ns/op	    2696 B/op	     337 allocs/op
BenchmarkExecuteArithmetic-32       	   96742	      5951 ns/op	    2696 B/op	     337 allocs/op
BenchmarkExecuteRecursion-32        	    6087	     95137 ns/op	     120 B/op	       3 allocs/op
BenchmarkExecuteRecursion-32        	    6280	     95606 ns/op	     120 B/op	       3 allocs/op
BenchmarkExecuteRecursion-32        	    6349	     95332 ns/op	     120 B/op	       3 allocs/op
BenchmarkExecuteRecursion-32        	    6364	     94901 ns/op	     120 B/op	       3 allocs/op
BenchmarkExecuteRecursion-32        	    6382	     94618 ns/op	     120 B/op	       3 allocs/op
BenchmarkAgentDataTransform-32      	   14246	     42383 ns/op	   66304 B/op	     427 allocs/op
BenchmarkAgentDataTransform-32      	   14295	     41732 ns/op	   66304 B/op	     427 allocs/op
BenchmarkAgentDataTransform-32      	   14269	     41765 ns/op	   66304 B/op	     427 allocs/op
BenchmarkAgentDataTransform-32      	   14233	     41946 ns/op	   66304 B/op	     427 allocs/op
BenchmarkAgentDataTransform-32      	   14036	     41739 ns/op	   66304 B/op	     427 allocs/op
BenchmarkAgentStateMachine-32       	  153315	      3953 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentStateMachine-32       	  151944	      3919 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentStateMachine-32       	  153559	      4005 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentStateMachine-32       	  151564	      4030 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentStateMachine-32       	  150565	      3958 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentNestedAccess-32       	    5677	    102821 ns/op	   15880 B/op	    1985 allocs/op
BenchmarkAgentNestedAccess-32       	    5583	    101683 ns/op	   15880 B/op	    1985 allocs/op
BenchmarkAgentNestedAccess-32       	    5665	    103007 ns/op	   15880 B/op	    1985 allocs/op
BenchmarkAgentNestedAccess-32       	    5575	    101395 ns/op	   15880 B/op	    1985 allocs/op
BenchmarkAgentNestedAccess-32       	    5647	    105052 ns/op	   15880 B/op	    1985 allocs/op
BenchmarkCoroutineYieldResume-32    	  207246	      2843 ns/op	   10556 B/op	       5 allocs/op
BenchmarkCoroutineYieldResume-32    	  201471	      2802 ns/op	   10556 B/op	       5 allocs/op
BenchmarkCoroutineYieldResume-32    	  185701	      2815 ns/op	   10556 B/op	       5 allocs/op
BenchmarkCoroutineYieldResume-32    	  200488	      2799 ns/op	   10556 B/op	       5 allocs/op
BenchmarkCoroutineYieldResume-32    	  192402	      2896 ns/op	   10556 B/op	       5 allocs/op
BenchmarkFloatAdd-32                	   28987	     20808 ns/op	    7320 B/op	     915 allocs/op
BenchmarkFloatAdd-32                	   29882	     20018 ns/op	    7320 B/op	     915 allocs/op
BenchmarkFloatAdd-32                	   30135	     20028 ns/op	    7320 B/op	     915 allocs/op
BenchmarkFloatAdd-32                	   30044	     20155 ns/op	    7320 B/op	     915 allocs/op
BenchmarkFloatAdd-32                	   29902	     20028 ns/op	    7320 B/op	     915 allocs/op
BenchmarkIntegerAdd-32              	   46353	     12873 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntegerAdd-32              	   43873	     12904 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntegerAdd-32              	   45973	     13265 ns/op	       0 B/op	       0 allocs/op
