BenchmarkCompileSimpleScript-32                      	   76402	      7584 ns/op	   27092 B/op	      54 allocs/op
BenchmarkCompileSimpleScript-32                      	   82927	      7083 ns/op	   27099 B/op	      54 allocs/op
BenchmarkCompileSimpleScript-32                      	   90357	      8186 ns/op	   27096 B/op	      54 allocs/op
BenchmarkCompileMediumScript-32                      	   17932	     32528 ns/op	   77023 B/op	     268 allocs/op
BenchmarkCompileMediumScript-32                      	   19537	     32045 ns/op	   77009 B/op	     268 allocs/op
BenchmarkCompileMediumScript-32                      	   19653	     29910 ns/op	   77022 B/op	     268 allocs/op
BenchmarkCompileFibonacci-32                         	   26600	     23701 ns/op	   66297 B/op	     185 allocs/op
BenchmarkCompileFibonacci-32                         	   25395	     23776 ns/op	   66298 B/op	     185 allocs/op
BenchmarkCompileFibonacci-32                         	   26844	     22023 ns/op	   66285 B/op	     185 allocs/op
BenchmarkExecuteLoop-32                              	   31102	     18758 ns/op	    5112 B/op	     639 allocs/op
BenchmarkExecuteLoop-32                              	   32014	     18761 ns/op	    5112 B/op	     639 allocs/op
BenchmarkExecuteLoop-32                              	   31711	     19984 ns/op	    5112 B/op	     639 allocs/op
BenchmarkExecuteArithmetic-32                        	   95316	      6424 ns/op	    2696 B/op	     337 allocs/op
BenchmarkExecuteArithmetic-32                        	   90440	      6300 ns/op	    2696 B/op	     337 allocs/op
BenchmarkExecuteArithmetic-32                        	   96162	      6264 ns/op	    2696 B/op	     337 allocs/op
BenchmarkExecuteRecursion-32                         	    6098	     99424 ns/op	     120 B/op	       3 allocs/op
BenchmarkExecuteRecursion-32                         	    6171	    102052 ns/op	     120 B/op	       3 allocs/op
BenchmarkExecuteRecursion-32                         	    6076	    101579 ns/op	     120 B/op	       3 allocs/op
BenchmarkTableCreate-32                              	 1158297	       515.0 ns/op	    2904 B/op	       5 allocs/op
BenchmarkTableCreate-32                              	 1129158	       502.8 ns/op	    2904 B/op	       5 allocs/op
BenchmarkTableCreate-32                              	 1000000	       536.8 ns/op	    2904 B/op	       5 allocs/op
BenchmarkTableCreateSized-32                         	 1327630	       423.6 ns/op	    2456 B/op	       5 allocs/op
BenchmarkTableCreateSized-32                         	 1404399	       402.7 ns/op	    2456 B/op	       5 allocs/op
BenchmarkTableCreateSized-32                         	 1485470	       347.6 ns/op	    2456 B/op	       5 allocs/op
BenchmarkTableSetGet-32                              	63069822	         9.892 ns/op	       8 B/op	       1 allocs/op
BenchmarkTableSetGet-32                              	61999088	         9.737 ns/op	       8 B/op	       1 allocs/op
BenchmarkTableSetGet-32                              	61094413	         9.830 ns/op	       8 B/op	       1 allocs/op
BenchmarkTableSetGetString-32                        	23439902	        25.79 ns/op	       8 B/op	       1 allocs/op
BenchmarkTableSetGetString-32                        	23875309	        23.37 ns/op	       8 B/op	       1 allocs/op
BenchmarkTableSetGetString-32                        	23723464	        23.47 ns/op	       8 B/op	       1 allocs/op
BenchmarkTableIteration-32                           	  101060	      5847 ns/op	    4064 B/op	       4 allocs/op
BenchmarkTableIteration-32                           	  103480	      5742 ns/op	    4064 B/op	       4 allocs/op
BenchmarkTableIteration-32                           	  100280	      5761 ns/op	    4064 B/op	       4 allocs/op
BenchmarkGoFunctionCall-32                           	  105397	      5567 ns/op	     800 B/op	     100 allocs/op
BenchmarkGoFunctionCall-32                           	  105447	      5539 ns/op	     800 B/op	     100 allocs/op
BenchmarkGoFunctionCall-32                           	  104296	      5580 ns/op	     800 B/op	     100 allocs/op
BenchmarkLuaFunctionCall-32                          	  160072	      3834 ns/op	      64 B/op	       1 allocs/op
