BenchmarkExecuteLoop-32             	   33000	     17725 ns/op	    5112 B/op	     639 allocs/op
BenchmarkExecuteLoop-32             	   33441	     17913 ns/op	    5112 B/op	     639 allocs/op
BenchmarkExecuteLoop-32             	   33199	     17697 ns/op	    5112 B/op	     639 allocs/op
BenchmarkExecuteLoop-32             	   33535	     18646 ns/op	    5112 B/op	     639 allocs/op
BenchmarkExecuteLoop-32             	   33440	     17713 ns/op	    5112 B/op	     639 allocs/op
BenchmarkExecuteArithmetic-32       	   99000	      5895 ns/op	    2696 B/op	     337 allocs/op
BenchmarkExecuteArithmetic-32       	   95745	      5841 ns/op	    2696 B/op	     337 allocs/op
BenchmarkExecuteArithmetic-32       	   99938	      5877 ns/op	    2696 B/op	     337 allocs/op
BenchmarkExecuteArithmetic-32       	   96802	      5881 ns/op	    2696 B/op	     337 allocs/op
BenchmarkExecuteArithmetic-32       	   97760	      5941 ns/op	    2696 B/op	     337 allocs/op
BenchmarkExecuteRecursion-32        	    6109	     95072 ns/op	     120 B/op	       3 allocs/op
BenchmarkExecuteRecursion-32        	    6256	     95582 ns/op	     120 B/op	       3 allocs/op
BenchmarkExecuteRecursion-32        	    6080	     96305 ns/op	     120 B/op	       3 allocs/op
BenchmarkExecuteRecursion-32        	    6272	     97044 ns/op	     120 B/op	       3 allocs/op
BenchmarkExecuteRecursion-32        	    6339	     95457 ns/op	     120 B/op	       3 allocs/op
BenchmarkAgentDataTransform-32      	   13629	     44161 ns/op	   66304 B/op	     427 allocs/op
BenchmarkAgentDataTransform-32      	   13700	     43821 ns/op	   66304 B/op	     427 allocs/op
BenchmarkAgentDataTransform-32      	   13816	     44463 ns/op	   66304 B/op	     427 allocs/op
BenchmarkAgentDataTransform-32      	   13686	     44169 ns/op	   66304 B/op	     427 allocs/op
BenchmarkAgentDataTransform-32      	   13826	     44113 ns/op	   66304 B/op	     427 allocs/op
BenchmarkAgentStateMachine-32       	  155265	      3909 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentStateMachine-32       	  140617	      3931 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentStateMachine-32       	  153996	      3880 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentStateMachine-32       	  155629	      3908 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentStateMachine-32       	  153716	      3899 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentNestedAccess-32       	    5671	     99412 ns/op	   15881 B/op	    1985 allocs/op
BenchmarkAgentNestedAccess-32       	    5685	    100370 ns/op	   15880 B/op	    1985 allocs/op
BenchmarkAgentNestedAccess-32       	    5782	    100200 ns/op	   15880 B/op	    1985 allocs/op
BenchmarkAgentNestedAccess-32       	    5770	     99596 ns/op	   15880 B/op	    1985 allocs/op
BenchmarkAgentNestedAccess-32       	    5767	    102028 ns/op	   15880 B/op	    1985 allocs/op
BenchmarkCoroutineYieldResume-32    	  158522	      3742 ns/op	   10557 B/op	       5 allocs/op
BenchmarkCoroutineYieldResume-32    	  158947	      3731 ns/op	   10557 B/op	       5 allocs/op
BenchmarkCoroutineYieldResume-32    	  161494	      3660 ns/op	   10557 B/op	       5 allocs/op
BenchmarkCoroutineYieldResume-32    	  154017	      3756 ns/op	   10557 B/op	       5 allocs/op
BenchmarkCoroutineYieldResume-32    	  153020	      3681 ns/op	   10557 B/op	       5 allocs/op
BenchmarkFloatAdd-32                	   29736	     20585 ns/op	    7320 B/op	     915 allocs/op
BenchmarkFloatAdd-32                	   29816	     19381 ns/op	    7320 B/op	     915 allocs/op
BenchmarkFloatAdd-32                	   29414	     19869 ns/op	    7320 B/op	     915 allocs/op
BenchmarkFloatAdd-32                	   29679	     19477 ns/op	    7320 B/op	     915 allocs/op
BenchmarkFloatAdd-32                	   28047	     20001 ns/op	    7320 B/op	     915 allocs/op
BenchmarkIntegerAdd-32              	   45199	     13078 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntegerAdd-32              	   46054	     13245 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntegerAdd-32              	   45838	     13190 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntegerAdd-32              	   46100	     13174 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntegerAdd-32              	   45074	     13204 ns/op	       0 B/op	       0 allocs/op
BenchmarkArithMixed-32              	    4896	    108635 ns/op	   29785 B/op	    3723 allocs/op
BenchmarkArithMixed-32              	    5010	    108150 ns/op	   29785 B/op	    3723 allocs/op
BenchmarkArithMixed-32              	    4983	    110455 ns/op	   29785 B/op	    3723 allocs/op
