BenchmarkExecuteLoop-32             	   33747	     21402 ns/op	    5112 B/op	     639 allocs/op
BenchmarkExecuteLoop-32             	   33699	     18061 ns/op	    5112 B/op	     639 allocs/op
BenchmarkExecuteLoop-32             	   32646	     17946 ns/op	    5112 B/op	     639 allocs/op
BenchmarkExecuteLoop-32             	   33685	     17782 ns/op	    5112 B/op	     639 allocs/op
BenchmarkExecuteLoop-32             	   33652	     17800 ns/op	    5112 B/op	     639 allocs/op
BenchmarkExecuteArithmetic-32       	   97264	      5954 ns/op	    2696 B/op	     337 allocs/op
BenchmarkExecuteArithmetic-32       	   96958	      5948 ns/op	    2696 B/op	     337 allocs/op
BenchmarkExecuteArithmetic-32       	   98175	      5968 ns/op	    2696 B/op	     337 allocs/op
BenchmarkExecuteArithmetic-32       	   96350	      5955 ns/op	    2696 B/op	     337 allocs/op
BenchmarkExecuteArithmetic-32       	   97555	      5958 ns/op	    2696 B/op	     337 allocs/op
BenchmarkExecuteRecursion-32        	    6176	     96493 ns/op	     120 B/op	       3 allocs/op
BenchmarkExecuteRecursion-32        	    6104	     95045 ns/op	     120 B/op	       3 allocs/op
BenchmarkExecuteRecursion-32        	    6255	     97624 ns/op	     120 B/op	       3 allocs/op
BenchmarkExecuteRecursion-32        	    6160	     95254 ns/op	     120 B/op	       3 allocs/op
BenchmarkExecuteRecursion-32        	    6325	     97147 ns/op	     120 B/op	       3 allocs/op
BenchmarkAgentDataTransform-32      	   14206	     42369 ns/op	   66304 B/op	     427 allocs/op
BenchmarkAgentDataTransform-32      	   14130	     42328 ns/op	   66304 B/op	     427 allocs/op
BenchmarkAgentDataTransform-32      	   13966	     43085 ns/op	   66304 B/op	     427 allocs/op
BenchmarkAgentDataTransform-32      	   14011	     42876 ns/op	   66304 B/op	     427 allocs/op
BenchmarkAgentDataTransform-32      	   14084	     42828 ns/op	   66304 B/op	     427 allocs/op
BenchmarkAgentStateMachine-32       	  156212	      3900 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentStateMachine-32       	  154136	      3899 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentStateMachine-32       	  151269	      3905 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentStateMachine-32       	  155320	      3913 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentStateMachine-32       	  142688	      3965 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentNestedAccess-32       	    5572	    101612 ns/op	   15880 B/op	    1985 allocs/op
BenchmarkAgentNestedAccess-32       	    5656	    100806 ns/op	   15880 B/op	    1985 allocs/op
BenchmarkAgentNestedAccess-32       	    5281	    104713 ns/op	   15880 B/op	    1985 allocs/op
BenchmarkAgentNestedAccess-32       	    5526	    101875 ns/op	   15880 B/op	    1985 allocs/op
BenchmarkAgentNestedAccess-32       	    5824	    101883 ns/op	   15880 B/op	    1985 allocs/op
BenchmarkCoroutineYieldResume-32    	  145008	      3850 ns/op	   10557 B/op	       5 allocs/op
BenchmarkCoroutineYieldResume-32    	  157105	      3943 ns/op	   10556 B/op	       5 allocs/op
BenchmarkCoroutineYieldResume-32    	  137304	      3943 ns/op	   10557 B/op	       5 allocs/op
BenchmarkCoroutineYieldResume-32    	  153633	      4009 ns/op	   10556 B/op	       5 allocs/op
BenchmarkCoroutineYieldResume-32    	  152742	      3894 ns/op	   10556 B/op	       5 allocs/op
BenchmarkFloatAdd-32                	   29131	     20353 ns/op	    7320 B/op	     915 allocs/op
BenchmarkFloatAdd-32                	   29107	     19831 ns/op	    7320 B/op	     915 allocs/op
BenchmarkFloatAdd-32                	   29922	     19677 ns/op	    7320 B/op	     915 allocs/op
BenchmarkFloatAdd-32                	   30338	     19726 ns/op	    7320 B/op	     915 allocs/op
BenchmarkFloatAdd-32                	   30289	     19719 ns/op	    7320 B/op	     915 allocs/op
BenchmarkIntegerAdd-32              	   44988	     13218 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntegerAdd-32              	   45777	     13111 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntegerAdd-32              	   45757	     13150 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntegerAdd-32              	   45729	     13188 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntegerAdd-32              	   43074	     13372 ns/op	       0 B/op	       0 allocs/op
BenchmarkArithMixed-32              	    4932	    111067 ns/op	   29785 B/op	    3723 allocs/op
BenchmarkArithMixed-32              	    4881	    109472 ns/op	   29785 B/op	    3723 allocs/op
BenchmarkArithMixed-32              	    4947	    111026 ns/op	   29785 B/op	    3723 allocs/op
BenchmarkArithMixed-32              	    4790	    110457 ns/op	   29785 B/op	    3723 allocs/op
BenchmarkArithMixed-32              	    4898	    110810 ns/op	   29785 B/op	    3723 allocs/op
BenchmarkArithIntOnly-32            	    5277	    105450 ns/op	   23601 B/op	    2950 allocs/op
BenchmarkArithIntOnly-32            	    5155	    102695 ns/op	   23601 B/op	    2950 allocs/op
BenchmarkArithIntOnly-32            	    5403	    104943 ns/op	   23601 B/op	    2950 allocs/op
BenchmarkArithIntOnly-32            	    5392	    103017 ns/op	   23600 B/op	    2950 allocs/op
