BenchmarkExecuteLoop-32             	   33176	     17717 ns/op	    5112 B/op	     639 allocs/op
BenchmarkExecuteLoop-32             	   33489	     17791 ns/op	    5112 B/op	     639 allocs/op
BenchmarkExecuteLoop-32             	   33458	     17685 ns/op	    5112 B/op	     639 allocs/op
BenchmarkExecuteLoop-32             	   33450	     17903 ns/op	    5112 B/op	     639 allocs/op
BenchmarkExecuteLoop-32             	   33471	     17693 ns/op	    5112 B/op	     639 allocs/op
BenchmarkExecuteArithmetic-32       	   99211	      5929 ns/op	    2696 B/op	     337 allocs/op
BenchmarkExecuteArithmetic-32       	   97969	      5887 ns/op	    2696 B/op	     337 allocs/op
BenchmarkExecuteArithmetic-32       	  100238	      5893 ns/op	    2696 B/op	     337 allocs/op
BenchmarkExecuteArithmetic-32       	   98823	      5947 ns/op	    2696 B/op	     337 allocs/op
BenchmarkExecuteArithmetic-32       	   98311	      5826 ns/op	    2696 B/op	     337 allocs/op
BenchmarkExecuteRecursion-32        	    6332	     95311 ns/op	     120 B/op	       3 allocs/op
BenchmarkExecuteRecursion-32        	    6072	     95810 ns/op	     120 B/op	       3 allocs/op
BenchmarkExecuteRecursion-32        	    6302	     94666 ns/op	     120 B/op	       3 allocs/op
BenchmarkExecuteRecursion-32        	    6283	     94888 ns/op	     120 B/op	       3 allocs/op
BenchmarkExecuteRecursion-32        	    6312	     95678 ns/op	     120 B/op	       3 allocs/op
BenchmarkAgentDataTransform-32      	   14409	     41576 ns/op	   66304 B/op	     427 allocs/op
BenchmarkAgentDataTransform-32      	   14679	     42191 ns/op	   66304 B/op	     427 allocs/op
BenchmarkAgentDataTransform-32      	   14240	     41220 ns/op	   66304 B/op	     427 allocs/op
BenchmarkAgentDataTransform-32      	   14451	     41685 ns/op	   66304 B/op	     427 allocs/op
BenchmarkAgentDataTransform-32      	   14289	     41859 ns/op	   66304 B/op	     427 allocs/op
BenchmarkAgentStateMachine-32       	  150714	      4012 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentStateMachine-32       	  155799	      3877 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentStateMachine-32       	  155758	      3870 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentStateMachine-32       	  155919	      3897 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentStateMachine-32       	  155632	      3928 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentNestedAccess-32       	    5606	    100621 ns/op	   15880 B/op	    1985 allocs/op
BenchmarkAgentNestedAccess-32       	    5592	     99795 ns/op	   15880 B/op	    1985 allocs/op
BenchmarkAgentNestedAccess-32       	    5689	    101597 ns/op	   15880 B/op	    1985 allocs/op
BenchmarkAgentNestedAccess-32       	    5505	    100794 ns/op	   15880 B/op	    1985 allocs/op
BenchmarkAgentNestedAccess-32       	    5835	    101469 ns/op	   15880 B/op	    1985 allocs/op
BenchmarkCoroutineYieldResume-32    	  165088	      3708 ns/op	   10557 B/op	       5 allocs/op
BenchmarkCoroutineYieldResume-32    	  166540	      3621 ns/op	   10557 B/op	       5 allocs/op
BenchmarkCoroutineYieldResume-32    	  159085	      3667 ns/op	   10557 B/op	       5 allocs/op
BenchmarkCoroutineYieldResume-32    	  165355	      3662 ns/op	   10557 B/op	       5 allocs/op
BenchmarkCoroutineYieldResume-32    	  155965	      3709 ns/op	   10557 B/op	       5 allocs/op
BenchmarkFloatAdd-32                	   30415	     19685 ns/op	    7320 B/op	     915 allocs/op
BenchmarkFloatAdd-32                	   30619	     19507 ns/op	    7320 B/op	     915 allocs/op
BenchmarkFloatAdd-32                	   30618	     19445 ns/op	    7320 B/op	     915 allocs/op
BenchmarkFloatAdd-32                	   30074	     19491 ns/op	    7320 B/op	     915 allocs/op
BenchmarkFloatAdd-32                	   30634	     19672 ns/op	    7320 B/op	     915 allocs/op
BenchmarkIntegerAdd-32              	   45934	     13277 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntegerAdd-32              	   45918	     13244 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntegerAdd-32              	   45319	     13131 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntegerAdd-32              	   46077	     13057 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntegerAdd-32              	   44504	     13123 ns/op	       0 B/op	       0 allocs/op
BenchmarkArithMixed-32              	    5000	    109054 ns/op	   29785 B/op	    3723 allocs/op
BenchmarkArithMixed-32              	    4983	    109031 ns/op	   29785 B/op	    3723 allocs/op
BenchmarkArithMixed-32              	    4923	    108291 ns/op	   29785 B/op	    3723 allocs/op
BenchmarkArithMixed-32              	    5097	    108749 ns/op	   29785 B/op	    3723 allocs/op
BenchmarkArithMixed-32              	    4947	    109392 ns/op	   29785 B/op	    3723 allocs/op
BenchmarkArithIntOnly-32            	    5347	    101520 ns/op	   23600 B/op	    2950 allocs/op
BenchmarkArithIntOnly-32            	    5366	    101947 ns/op	   23601 B/op	    2950 allocs/op
BenchmarkArithIntOnly-32            	    5500	    102437 ns/op	   23601 B/op	    2950 allocs/op
BenchmarkArithIntOnly-32            	    5470	    101866 ns/op	   23600 B/op	    2950 allocs/op
BenchmarkArithIntOnly-32            	    5449	    102743 ns/op	   23601 B/op	    2950 allocs/op
BenchmarkVMFunctionCall-32          	   10000	     53989 ns/op	    5112 B/op	     639 allocs/op
BenchmarkVMFunctionCall-32          	   10000	     56666 ns/op	    5112 B/op	     639 allocs/op
BenchmarkVMFunctionCall-32          	   10000	     54122 ns/op	    5112 B/op	     639 allocs/op
BenchmarkVMFunctionCall-32          	   10000	     55511 ns/op	    5112 B/op	     639 allocs/op
BenchmarkVMFunctionCall-32          	   10000	     54833 ns/op	    5112 B/op	     639 allocs/op
BenchmarkLocalAccess-32             	    8760	     59893 ns/op	   23960 B/op	    2995 allocs/op
BenchmarkLocalAccess-32             	    8661	     60424 ns/op	   23960 B/op	    2995 allocs/op
BenchmarkLocalAccess-32             	    8898	     60630 ns/op	   23960 B/op	    2995 allocs/op
BenchmarkLocalAccess-32             	    8646	     60129 ns/op	   23960 B/op	    2995 allocs/op
BenchmarkLocalAccess-32             	    8848	     60468 ns/op	   23960 B/op	    2995 allocs/op
BenchmarkComparison-32              	   22820	     26421 ns/op	       0 B/op	       0 allocs/op
BenchmarkComparison-32              	   21474	     26377 ns/op	       0 B/op	       0 allocs/op
BenchmarkComparison-32              	   23066	     26359 ns/op	       0 B/op	       0 allocs/op
BenchmarkComparison-32              	   22840	     26604 ns/op	       0 B/op	       0 allocs/op
BenchmarkComparison-32              	   22598	     26110 ns/op	       0 B/op	       0 allocs/op
BenchmarkVMGlobalAccess-32          	   12459	     48647 ns/op	    7958 B/op	     994 allocs/op
BenchmarkVMGlobalAccess-32          	   10000	     51077 ns/op	    7948 B/op	     993 allocs/op
BenchmarkVMGlobalAccess-32          	   12446	     47771 ns/op	    7958 B/op	     994 allocs/op
BenchmarkVMGlobalAccess-32          	   12116	     48015 ns/op	    7957 B/op	     994 allocs/op
BenchmarkVMGlobalAccess-32          	   12399	     47736 ns/op	    7958 B/op	     994 allocs/op
BenchmarkForNumeric-32              	    4513	    130188 ns/op	       0 B/op	       0 allocs/op
BenchmarkForNumeric-32              	    4638	    130644 ns/op	       0 B/op	       0 allocs/op
BenchmarkForNumeric-32              	    4579	    130376 ns/op	       0 B/op	       0 allocs/op
BenchmarkForNumeric-32              	    4636	    131644 ns/op	       0 B/op	       0 allocs/op
BenchmarkForNumeric-32              	    4576	    130074 ns/op	       0 B/op	       0 allocs/op
BenchmarkForPairs-32                	   71841	      8415 ns/op	       0 B/op	       0 allocs/op
BenchmarkForPairs-32                	   71125	      8272 ns/op	       0 B/op	       0 allocs/op
BenchmarkForPairs-32                	   69573	      8385 ns/op	       0 B/op	       0 allocs/op
BenchmarkForPairs-32                	   70974	      8322 ns/op	       0 B/op	       0 allocs/op
